Order ID,Order Date,Ship Date,Ship Mode,Segment,City,Region,Category,Sub-Category,Sales,Quantity,Discount,Profit
ORD-1000,2022-04-03,2022-04-05,Standard Class,Consumer,Boston,East,Furniture,Bookcases,3687.63,7,0.4,-1194.49
ORD-1001,2022-02-12,2022-02-18,First Class,Consumer,New York,East,Furniture,Tables,3256.42,8,0.4,-729.91
ORD-1002,2022-07-24,2022-07-26,Standard Class,Corporate,Seattle,West,Office Supplies,Envelopes,1092.26,7,0.2,-130.35
ORD-1003,2023-07-30,2023-08-04,First Class,Home Office,Chicago,North,Office Supplies,Storage,641.63,5,0.3,-145.24
ORD-1004,2022-04-12,2022-04-19,Same Day,Corporate,Los Angeles,West,Office Supplies,Paper,1461.15,2,0.0,447.98
ORD-1005,2023-01-29,2023-02-01,Second Class,Home Office,Dallas,South,Office Supplies,Storage,1063.35,2,0.2,64.38
ORD-1006,2022-07-07,2022-07-13,Second Class,Consumer,Denver,West,Furniture,Furnishings,3447.05,1,0.1,535.62
ORD-1007,2022-03-09,2022-03-14,Same Day,Home Office,Chicago,North,Technology,Accessories,4384.31,8,0.2,-377.98
ORD-1008,2022-05-21,2022-05-27,Same Day,Corporate,Dallas,South,Furniture,Bookcases,2815.61,7,0.2,208.65
ORD-1009,2021-04-07,2021-04-14,Standard Class,Corporate,Los Angeles,West,Furniture,Furnishings,566.05,7,0.1,106.2
ORD-1010,2021-01-24,2021-01-30,Standard Class,Corporate,Miami,South,Office Supplies,Envelopes,3609.19,6,0.4,-450.2
ORD-1011,2022-06-24,2022-06-29,Second Class,Consumer,Houston,South,Furniture,Furnishings,3814.57,5,0.4,-290.71
ORD-1012,2023-09-28,2023-09-29,Second Class,Consumer,Minneapolis,North,Furniture,Chairs,577.1,5,0.2,65.57
ORD-1013,2023-09-23,2023-09-30,Same Day,Home Office,Los Angeles,West,Office Supplies,Paper,364.68,3,0.4,-43.85
ORD-1014,2022-02-16,2022-02-22,Same Day,Consumer,San Francisco,West,Technology,Copiers,1572.35,9,0.2,-29.2
ORD-1015,2021-02-13,2021-02-18,Standard Class,Consumer,Seattle,West,Furniture,Chairs,2778.53,2,0.4,-788.92
ORD-1016,2023-11-19,2023-11-21,Same Day,Consumer,New York,East,Furniture,Bookcases,1406.82,3,0.3,-261.29
ORD-1017,2021-07-18,2021-07-24,Standard Class,Consumer,Houston,South,Technology,Computers,2166.63,1,0.3,-274.45
ORD-1018,2022-05-25,2022-05-27,First Class,Corporate,Houston,South,Office Supplies,Storage,967.24,3,0.3,-201.13
ORD-1019,2021-04-14,2021-04-20,Second Class,Corporate,Los Angeles,West,Furniture,Furnishings,4996.43,4,0.0,1702.28
ORD-1020,2021-05-01,2021-05-03,First Class,Corporate,Atlanta,South,Technology,Computers,1907.29,8,0.3,-325.08
ORD-1021,2022-03-22,2022-03-23,Standard Class,Consumer,Miami,South,Furniture,Tables,2904.32,6,0.4,-963.4
ORD-1022,2023-11-07,2023-11-08,Same Day,Consumer,Houston,South,Office Supplies,Binders,4259.69,4,0.0,973.38
ORD-1023,2023-05-09,2023-05-15,Second Class,Home Office,Los Angeles,West,Office Supplies,Paper,2926.69,5,0.4,-746.57
ORD-1024,2021-09-26,2021-10-02,Standard Class,Corporate,Milwaukee,North,Furniture,Bookcases,3234.59,2,0.3,-501.84
ORD-1025,2021-09-29,2021-10-02,Same Day,Home Office,Philadelphia,East,Furniture,Tables,4406.7,3,0.1,268.18
ORD-1026,2021-08-01,2021-08-03,First Class,Corporate,Minneapolis,North,Office Supplies,Paper,1337.04,3,0.0,364.64
ORD-1027,2022-06-25,2022-06-30,First Class,Consumer,San Francisco,West,Office Supplies,Storage,2452.89,7,0.0,190.56
ORD-1028,2021-11-27,2021-12-03,Standard Class,Home Office,Philadelphia,East,Technology,Computers,2220.34,2,0.3,-181.46
